Year;WMI;Brand;ModelName;distinct_users;distinct_requests
2018;z9n;NOT FOUND;NOT FOUND;5;6
2018;z9r;NOT FOUND;NOT FOUND;1;1
2018;Z9S;NOT FOUND;NOT FOUND;1;1
2018;Z9T;NOT FOUND;NOT FOUND;1;2
2018;z9u;NOT FOUND;NOT FOUND;1;1
2018;Z9V;NOT FOUND;NOT FOUND;1;1
2018;z9y;NOT FOUND;NOT FOUND;1;1
2018;z9z;NOT FOUND;NOT FOUND;1;1
2018;za4;NOT FOUND;NOT FOUND;2;3
2018;ZAM;NOT FOUND;NOT FOUND;34;78
2018;zan;NOT FOUND;NOT FOUND;1;5
2018;zar;ALFA ROMEO;145 [145 GAMMA 97 (1997-1999)];2;2
2018;zar;ALFA ROMEO;146 [146 BZ/DS (1995-1996)];2;2
2018;zar;ALFA ROMEO;146 [146 GAMMA 97 (1997-1999)];1;7
2018;ZAR;ALFA ROMEO;147 [147 BZ/DS (2000-2010)];7;21
2018;ZAR;ALFA ROMEO;155 [155 ASPIRATO (1992-1996)];6;12
2018;ZAR;ALFA ROMEO;155 [155 GAMMA 96 BZ (1996-1997)];2;4
2018;ZAR;ALFA ROMEO;156 [156 BENZINA (1997-2002)];18;28
2018;ZAR;ALFA ROMEO;156 [156 M.Y.2002 BZ/DS (2001-2005)];7;8
2018;zar;ALFA ROMEO;156 [156 TD.ID. (1997-2002)];6;8
2018;zar;ALFA ROMEO;164 [164 (1987-1992)];1;1
2018;ZAR;ALFA ROMEO;166 [166 BZ-DS (1998-2007)];15;29
2018;ZAR;ALFA ROMEO;33 [33 CARB./DS (1990-1994)];1;1
